resume_id,resume_category,rank,job_id,job_title,job_category,score
13130984,ACCOUNTANT,1,52,Financial Analyst,FINANCE,0.2108
13130984,ACCOUNTANT,2,22,Banking Analyst,BANKING,0.1118
13130984,ACCOUNTANT,3,54,FP&A Analyst,FINANCE,0.1054
13130984,ACCOUNTANT,4,53,Finance Manager,FINANCE,0.1054
13130984,ACCOUNTANT,5,3,Audit Associate,ACCOUNTANT,0.1054
28325193,ARTS,1,50,Software Engineer,ENGINEERING,0.3651
28325193,ARTS,2,20,Flight Operations Officer,AVIATION,0.2182
28325193,ARTS,3,10,Fashion Merchandiser,APPAREL,0.2182
28325193,ARTS,4,6,Public Policy Analyst,ADVOCATE,0.2182
28325193,ARTS,5,31,Partnership Manager,BUSINESS-DEVELOPMENT,0.2182
59346975,PUBLIC-RELATIONS,1,47,Content Strategist,DIGITAL-MEDIA,0.3849
59346975,PUBLIC-RELATIONS,2,44,Digital Marketing Manager,DIGITAL-MEDIA,0.3651
59346975,PUBLIC-RELATIONS,3,76,Communications Specialist,PUBLIC-RELATIONS,0.2182
59346975,PUBLIC-RELATIONS,4,75,PR Manager,PUBLIC-RELATIONS,0.2041
59346975,PUBLIC-RELATIONS,5,10,Fashion Merchandiser,APPAREL,0.1091
37818861,CONSULTANT,1,31,Partnership Manager,BUSINESS-DEVELOPMENT,0.3381
37818861,CONSULTANT,2,18,Auto Sales Manager,AUTOMOBILE,0.3162
37818861,CONSULTANT,3,12,Supply Chain Coordinator,APPAREL,0.3162
37818861,CONSULTANT,4,23,Relationship Manager,BANKING,0.2981
37818861,CONSULTANT,5,30,Sales & BD Executive,BUSINESS-DEVELOPMENT,0.2981
64589506,BANKING,1,56,Gym Manager,FITNESS,0.1581
64589506,BANKING,2,18,Auto Sales Manager,AUTOMOBILE,0.1581
64589506,BANKING,3,79,Key Account Manager,SALES,0.1491
64589506,BANKING,4,24,Investment Analyst,BANKING,0.1491
64589506,BANKING,5,30,Sales & BD Executive,BUSINESS-DEVELOPMENT,0.1491
36379931,ARTS,1,27,Customer Service Lead,BPO,0.4009
36379931,ARTS,2,50,Software Engineer,ENGINEERING,0.3586
36379931,ARTS,3,31,Partnership Manager,BUSINESS-DEVELOPMENT,0.2857
36379931,ARTS,4,56,Gym Manager,FITNESS,0.2673
36379931,ARTS,5,38,Management Consultant,CONSULTANT,0.2673
18805506,BANKING,1,20,Flight Operations Officer,AVIATION,0.1336
18805506,BANKING,2,35,Civil Engineer,CONSTRUCTION,0.125
18805506,BANKING,3,36,Construction Manager,CONSTRUCTION,0.125
18805506,BANKING,4,53,Finance Manager,FINANCE,0.1179
18805506,BANKING,5,50,Software Engineer,ENGINEERING,0.1118
51639418,INFORMATION-TECHNOLOGY,1,52,Financial Analyst,FINANCE,0.3015
51639418,INFORMATION-TECHNOLOGY,2,50,Software Engineer,ENGINEERING,0.286
51639418,INFORMATION-TECHNOLOGY,3,83,Academic Counsellor,TEACHER,0.2132
51639418,INFORMATION-TECHNOLOGY,4,58,Healthcare Administrator,HEALTHCARE,0.2132
51639418,INFORMATION-TECHNOLOGY,5,22,Banking Analyst,BANKING,0.2132
28895997,BANKING,1,39,HR Consultant,CONSULTANT,0.4082
28895997,BANKING,2,58,Healthcare Administrator,HEALTHCARE,0.4082
28895997,BANKING,3,64,HR Business Partner,HR,0.4082
28895997,BANKING,4,22,Banking Analyst,BANKING,0.4082
28895997,BANKING,5,4,Legal Advocate,ADVOCATE,0.3849
30713796,BANKING,1,58,Healthcare Administrator,HEALTHCARE,0.2041
30713796,BANKING,2,61,Medical Coder,HEALTHCARE,0.2041
30713796,BANKING,3,64,HR Business Partner,HR,0.2041
30713796,BANKING,4,39,HR Consultant,CONSULTANT,0.2041
30713796,BANKING,5,5,Corporate Lawyer,ADVOCATE,0.2041
22551979,TEACHER,1,77,Event Coordinator,PUBLIC-RELATIONS,0.2041
22551979,TEACHER,2,75,PR Manager,PUBLIC-RELATIONS,0.2041
22551979,TEACHER,3,13,Art Teacher,ARTS,0.2041
22551979,TEACHER,4,47,Content Strategist,DIGITAL-MEDIA,0.1925
22551979,TEACHER,5,24,Investment Analyst,BANKING,0.1925
10704573,BUSINESS-DEVELOPMENT,1,56,Gym Manager,FITNESS,0.2887
10704573,BUSINESS-DEVELOPMENT,2,8,Farm Manager,AGRICULTURE,0.1543
10704573,BUSINESS-DEVELOPMENT,3,77,Event Coordinator,PUBLIC-RELATIONS,0.1443
10704573,BUSINESS-DEVELOPMENT,4,36,Construction Manager,CONSTRUCTION,0.1443
10704573,BUSINESS-DEVELOPMENT,5,32,Head Chef,CHEF,0.1443
12467531,TEACHER,1,76,Communications Specialist,PUBLIC-RELATIONS,0.1336
12467531,TEACHER,2,11,Apparel Designer,APPAREL,0.1336
12467531,TEACHER,3,77,Event Coordinator,PUBLIC-RELATIONS,0.125
12467531,TEACHER,4,22,Banking Analyst,BANKING,0.125
12467531,TEACHER,5,13,Art Teacher,ARTS,0.125
21512769,CONSULTANT,1,50,Software Engineer,ENGINEERING,0.1414
21512769,CONSULTANT,2,82,Corporate Trainer,TEACHER,0.0
21512769,CONSULTANT,3,83,Academic Counsellor,TEACHER,0.0
21512769,CONSULTANT,4,80,Inside Sales Representative,SALES,0.0
21512769,CONSULTANT,5,79,Key Account Manager,SALES,0.0
15306049,ARTS,1,50,Software Engineer,ENGINEERING,0.3162
15306049,ARTS,2,82,Corporate Trainer,TEACHER,0.0
15306049,ARTS,3,83,Academic Counsellor,TEACHER,0.0
15306049,ARTS,4,80,Inside Sales Representative,SALES,0.0
15306049,ARTS,5,79,Key Account Manager,SALES,0.0
36694627,ADVOCATE,1,50,Software Engineer,ENGINEERING,0.3354
36694627,ADVOCATE,2,38,Management Consultant,CONSULTANT,0.25
36694627,ADVOCATE,3,27,Customer Service Lead,BPO,0.25
36694627,ADVOCATE,4,40,IT Consultant,CONSULTANT,0.2357
36694627,ADVOCATE,5,82,Corporate Trainer,TEACHER,0.2357
13454871,CONSULTANT,1,50,Software Engineer,ENGINEERING,0.3162
13454871,CONSULTANT,2,52,Financial Analyst,FINANCE,0.2222
13454871,CONSULTANT,3,82,Corporate Trainer,TEACHER,0.2222
13454871,CONSULTANT,4,74,BI Developer,INFORMATION-TECHNOLOGY,0.2108
13454871,CONSULTANT,5,10,Fashion Merchandiser,APPAREL,0.126
28623782,FINANCE,1,53,Finance Manager,FINANCE,0.402
28623782,FINANCE,2,3,Audit Associate,ACCOUNTANT,0.402
28623782,FINANCE,3,22,Banking Analyst,BANKING,0.3198
28623782,FINANCE,4,1,Accountant,ACCOUNTANT,0.286
28623782,FINANCE,5,52,Financial Analyst,FINANCE,0.201
21830565,HR,1,31,Partnership Manager,BUSINESS-DEVELOPMENT,0.1195
21830565,HR,2,81,School Teacher,TEACHER,0.1118
21830565,HR,3,83,Academic Counsellor,TEACHER,0.1118
21830565,HR,4,61,Medical Coder,HEALTHCARE,0.1118
21830565,HR,5,39,HR Consultant,CONSULTANT,0.1118
73030450,ARTS,1,70,Network Security Engineer,INFORMATION-TECHNOLOGY,0.3508
73030450,ARTS,2,20,Flight Operations Officer,AVIATION,0.1048
73030450,ARTS,3,35,Civil Engineer,CONSTRUCTION,0.0981
73030450,ARTS,4,36,Construction Manager,CONSTRUCTION,0.0981
73030450,ARTS,5,50,Software Engineer,ENGINEERING,0.0877
13087952,TEACHER,1,83,Academic Counsellor,TEACHER,0.2357
13087952,TEACHER,2,81,School Teacher,TEACHER,0.2357
13087952,TEACHER,3,50,Software Engineer,ENGINEERING,0.2108
13087952,TEACHER,4,20,Flight Operations Officer,AVIATION,0.126
13087952,TEACHER,5,10,Fashion Merchandiser,APPAREL,0.126
22019500,CONSTRUCTION,1,42,Product Designer,DESIGNER,0.2357
22019500,CONSTRUCTION,2,50,Software Engineer,ENGINEERING,0.2236
22019500,CONSTRUCTION,3,17,Service Technician,AUTOMOBILE,0.1443
22019500,CONSTRUCTION,4,19,Aviation Engineer,AVIATION,0.1336
22019500,CONSTRUCTION,5,57,Sports Coach,FITNESS,0.125
37292350,AGRICULTURE,1,44,Digital Marketing Manager,DIGITAL-MEDIA,0.239
37292350,AGRICULTURE,2,76,Communications Specialist,PUBLIC-RELATIONS,0.1429
37292350,AGRICULTURE,3,77,Event Coordinator,PUBLIC-RELATIONS,0.1336
37292350,AGRICULTURE,4,28,Process Analyst,BPO,0.1336
37292350,AGRICULTURE,5,38,Management Consultant,CONSULTANT,0.1336
35344611,ADVOCATE,1,83,Academic Counsellor,TEACHER,0.1179
35344611,ADVOCATE,2,81,School Teacher,TEACHER,0.1179
35344611,ADVOCATE,3,58,Healthcare Administrator,HEALTHCARE,0.1179
35344611,ADVOCATE,4,54,FP&A Analyst,FINANCE,0.1111
35344611,ADVOCATE,5,52,Financial Analyst,FINANCE,0.1111
91478356,HEALTHCARE,1,60,Registered Nurse,HEALTHCARE,0.252
91478356,HEALTHCARE,2,61,Medical Coder,HEALTHCARE,0.1336
91478356,HEALTHCARE,3,65,Payroll Specialist,HR,0.126
91478356,HEALTHCARE,4,50,Software Engineer,ENGINEERING,0.1195
91478356,HEALTHCARE,5,81,School Teacher,TEACHER,0.0
43378989,CONSULTANT,1,50,Software Engineer,ENGINEERING,0.3381
43378989,CONSULTANT,2,66,Software Developer,INFORMATION-TECHNOLOGY,0.2535
43378989,CONSULTANT,3,52,Financial Analyst,FINANCE,0.1782
43378989,CONSULTANT,4,74,BI Developer,INFORMATION-TECHNOLOGY,0.169
43378989,CONSULTANT,5,41,UI/UX Designer,DESIGNER,0.169
28359817,ACCOUNTANT,1,53,Finance Manager,FINANCE,0.4472
28359817,ACCOUNTANT,2,3,Audit Associate,ACCOUNTANT,0.2981
28359817,ACCOUNTANT,3,65,Payroll Specialist,HR,0.2981
28359817,ACCOUNTANT,4,1,Accountant,ACCOUNTANT,0.2828
28359817,ACCOUNTANT,5,61,Medical Coder,HEALTHCARE,0.1581
20210676,DIGITAL-MEDIA,1,13,Art Teacher,ARTS,0.3536
20210676,DIGITAL-MEDIA,2,47,Content Strategist,DIGITAL-MEDIA,0.3333
20210676,DIGITAL-MEDIA,3,77,Event Coordinator,PUBLIC-RELATIONS,0.2357
20210676,DIGITAL-MEDIA,4,64,HR Business Partner,HR,0.2357
20210676,DIGITAL-MEDIA,5,39,HR Consultant,CONSULTANT,0.2357
20324037,ADVOCATE,1,12,Supply Chain Coordinator,APPAREL,0.2942
20324037,ADVOCATE,2,54,FP&A Analyst,FINANCE,0.2774
20324037,ADVOCATE,3,53,Finance Manager,FINANCE,0.2774
20324037,ADVOCATE,4,31,Partnership Manager,BUSINESS-DEVELOPMENT,0.2097
20324037,ADVOCATE,5,18,Auto Sales Manager,AUTOMOBILE,0.1961
36574147,BUSINESS-DEVELOPMENT,1,5,Corporate Lawyer,ADVOCATE,0.2673
36574147,BUSINESS-DEVELOPMENT,2,18,Auto Sales Manager,AUTOMOBILE,0.2673
36574147,BUSINESS-DEVELOPMENT,3,79,Key Account Manager,SALES,0.252
36574147,BUSINESS-DEVELOPMENT,4,4,Legal Advocate,ADVOCATE,0.252
36574147,BUSINESS-DEVELOPMENT,5,30,Sales & BD Executive,BUSINESS-DEVELOPMENT,0.252
12920612,PUBLIC-RELATIONS,1,10,Fashion Merchandiser,APPAREL,0.3381
12920612,PUBLIC-RELATIONS,2,75,PR Manager,PUBLIC-RELATIONS,0.3162
12920612,PUBLIC-RELATIONS,3,82,Corporate Trainer,TEACHER,0.2981
12920612,PUBLIC-RELATIONS,4,45,Social Media Manager,DIGITAL-MEDIA,0.2981
12920612,PUBLIC-RELATIONS,5,47,Content Strategist,DIGITAL-MEDIA,0.2981
41651672,BANKING,1,1,Accountant,ACCOUNTANT,0.2828
41651672,BANKING,2,31,Partnership Manager,BUSINESS-DEVELOPMENT,0.169
41651672,BANKING,3,64,HR Business Partner,HR,0.1581
41651672,BANKING,4,56,Gym Manager,FITNESS,0.1581
41651672,BANKING,5,58,Healthcare Administrator,HEALTHCARE,0.1581
15958967,ADVOCATE,1,60,Registered Nurse,HEALTHCARE,0.1849
15958967,ADVOCATE,2,59,Clinical Research Analyst,HEALTHCARE,0.0981
15958967,ADVOCATE,3,38,Management Consultant,CONSULTANT,0.0981
15958967,ADVOCATE,4,28,Process Analyst,BPO,0.0981
15958967,ADVOCATE,5,9,Agricultural Analyst,AGRICULTURE,0.0981
28724469,FINANCE,1,53,Finance Manager,FINANCE,0.3536
28724469,FINANCE,2,1,Accountant,ACCOUNTANT,0.2236
28724469,FINANCE,3,8,Farm Manager,AGRICULTURE,0.1336
28724469,FINANCE,4,61,Medical Coder,HEALTHCARE,0.125
28724469,FINANCE,5,58,Healthcare Administrator,HEALTHCARE,0.125
16244633,ARTS,1,77,Event Coordinator,PUBLIC-RELATIONS,0.1961
16244633,ARTS,2,75,PR Manager,PUBLIC-RELATIONS,0.1961
16244633,ARTS,3,64,HR Business Partner,HR,0.1961
16244633,ARTS,4,22,Banking Analyst,BANKING,0.1961
16244633,ARTS,5,39,HR Consultant,CONSULTANT,0.1961
25482567,FITNESS,1,56,Gym Manager,FITNESS,0.4743
25482567,FITNESS,2,18,Auto Sales Manager,AUTOMOBILE,0.3162
25482567,FITNESS,3,77,Event Coordinator,PUBLIC-RELATIONS,0.3162
25482567,FITNESS,4,79,Key Account Manager,SALES,0.2981
25482567,FITNESS,5,30,Sales & BD Executive,BUSINESS-DEVELOPMENT,0.2981
26987539,BANKING,1,50,Software Engineer,ENGINEERING,0.2108
26987539,BANKING,2,17,Service Technician,AUTOMOBILE,0.1361
26987539,BANKING,3,76,Communications Specialist,PUBLIC-RELATIONS,0.126
26987539,BANKING,4,19,Aviation Engineer,AVIATION,0.126
26987539,BANKING,5,38,Management Consultant,CONSULTANT,0.1179
27152464,ENGINEERING,1,50,Software Engineer,ENGINEERING,0.2828
27152464,ENGINEERING,2,66,Software Developer,INFORMATION-TECHNOLOGY,0.1886
27152464,ENGINEERING,3,74,BI Developer,INFORMATION-TECHNOLOGY,0.1414
27152464,ENGINEERING,4,71,Full Stack Developer,INFORMATION-TECHNOLOGY,0.1414
27152464,ENGINEERING,5,83,Academic Counsellor,TEACHER,0.1054
12092347,FITNESS,1,50,Software Engineer,ENGINEERING,0.4243
12092347,FITNESS,2,38,Management Consultant,CONSULTANT,0.3162
12092347,FITNESS,3,27,Customer Service Lead,BPO,0.3162
12092347,FITNESS,4,40,IT Consultant,CONSULTANT,0.2981
12092347,FITNESS,5,17,Service Technician,AUTOMOBILE,0.1826
26341987,DIGITAL-MEDIA,1,70,Network Security Engineer,INFORMATION-TECHNOLOGY,0.3068
26341987,DIGITAL-MEDIA,2,12,Supply Chain Coordinator,APPAREL,0.2572
26341987,DIGITAL-MEDIA,3,53,Finance Manager,FINANCE,0.2425
26341987,DIGITAL-MEDIA,4,4,Legal Advocate,ADVOCATE,0.2425
26341987,DIGITAL-MEDIA,5,50,Software Engineer,ENGINEERING,0.2301
38165833,CONSULTANT,1,50,Software Engineer,ENGINEERING,0.3162
38165833,CONSULTANT,2,82,Corporate Trainer,TEACHER,0.0
38165833,CONSULTANT,3,83,Academic Counsellor,TEACHER,0.0
38165833,CONSULTANT,4,80,Inside Sales Representative,SALES,0.0
38165833,CONSULTANT,5,79,Key Account Manager,SALES,0.0
11197262,AGRICULTURE,1,55,Fitness Trainer,FITNESS,0.25
11197262,AGRICULTURE,2,59,Clinical Research Analyst,HEALTHCARE,0.25
11197262,AGRICULTURE,3,57,Sports Coach,FITNESS,0.25
11197262,AGRICULTURE,4,38,Management Consultant,CONSULTANT,0.25
11197262,AGRICULTURE,5,28,Process Analyst,BPO,0.25
19518606,ADVOCATE,1,27,Customer Service Lead,BPO,0.3198
19518606,ADVOCATE,2,78,Sales Executive,SALES,0.3015
19518606,ADVOCATE,3,79,Key Account Manager,SALES,0.3015
19518606,ADVOCATE,4,30,Sales & BD Executive,BUSINESS-DEVELOPMENT,0.3015
19518606,ADVOCATE,5,23,Relationship Manager,BANKING,0.3015
16300459,BANKING,1,31,Partnership Manager,BUSINESS-DEVELOPMENT,0.114
16300459,BANKING,2,22,Banking Analyst,BANKING,0.1066
16300459,BANKING,3,82,Corporate Trainer,TEACHER,0.1005
16300459,BANKING,4,53,Finance Manager,FINANCE,0.1005
16300459,BANKING,5,3,Audit Associate,ACCOUNTANT,0.1005
11835339,CONSULTANT,1,50,Software Engineer,ENGINEERING,0.1826
11835339,CONSULTANT,2,82,Corporate Trainer,TEACHER,0.0
11835339,CONSULTANT,3,83,Academic Counsellor,TEACHER,0.0
11835339,CONSULTANT,4,80,Inside Sales Representative,SALES,0.0
11835339,CONSULTANT,5,79,Key Account Manager,SALES,0.0
55097118,SALES,1,50,Software Engineer,ENGINEERING,0.3586
55097118,SALES,2,38,Management Consultant,CONSULTANT,0.2673
55097118,SALES,3,27,Customer Service Lead,BPO,0.2673
55097118,SALES,4,40,IT Consultant,CONSULTANT,0.252
55097118,SALES,5,17,Service Technician,AUTOMOBILE,0.1543
22732234,AUTOMOBILE,1,50,Software Engineer,ENGINEERING,0.3586
22732234,AUTOMOBILE,2,38,Management Consultant,CONSULTANT,0.2673
22732234,AUTOMOBILE,3,27,Customer Service Lead,BPO,0.2673
22732234,AUTOMOBILE,4,40,IT Consultant,CONSULTANT,0.252
22732234,AUTOMOBILE,5,24,Investment Analyst,BANKING,0.252
13964744,BPO,1,50,Software Engineer,ENGINEERING,0.3381
13964744,BPO,2,81,School Teacher,TEACHER,0.189
13964744,BPO,3,83,Academic Counsellor,TEACHER,0.189
13964744,BPO,4,52,Financial Analyst,FINANCE,0.1782
13964744,BPO,5,74,BI Developer,INFORMATION-TECHNOLOGY,0.169
93988900,HEALTHCARE,1,60,Registered Nurse,HEALTHCARE,0.1667
93988900,HEALTHCARE,2,42,Product Designer,DESIGNER,0.1667
93988900,HEALTHCARE,3,50,Software Engineer,ENGINEERING,0.1581
93988900,HEALTHCARE,4,17,Service Technician,AUTOMOBILE,0.1021
93988900,HEALTHCARE,5,19,Aviation Engineer,AVIATION,0.0945
32794700,ARTS,1,13,Art Teacher,ARTS,0.3198
32794700,ARTS,2,31,Partnership Manager,BUSINESS-DEVELOPMENT,0.2279
32794700,ARTS,3,56,Gym Manager,FITNESS,0.2132
32794700,ARTS,4,26,BPO Operations Manager,BPO,0.2132
32794700,ARTS,5,27,Customer Service Lead,BPO,0.2132
10062724,HEALTHCARE,1,61,Medical Coder,HEALTHCARE,0.2673
10062724,HEALTHCARE,2,58,Healthcare Administrator,HEALTHCARE,0.2673
10062724,HEALTHCARE,3,64,HR Business Partner,HR,0.1336
10062724,HEALTHCARE,4,39,HR Consultant,CONSULTANT,0.1336
10062724,HEALTHCARE,5,5,Corporate Lawyer,ADVOCATE,0.1336
10251432,HEALTHCARE,1,61,Medical Coder,HEALTHCARE,0.1581
10251432,HEALTHCARE,2,53,Finance Manager,FINANCE,0.1491
10251432,HEALTHCARE,3,65,Payroll Specialist,HR,0.1491
10251432,HEALTHCARE,4,50,Software Engineer,ENGINEERING,0.1414
10251432,HEALTHCARE,5,81,School Teacher,TEACHER,0.0
21297828,PUBLIC-RELATIONS,1,77,Event Coordinator,PUBLIC-RELATIONS,0.3162
21297828,PUBLIC-RELATIONS,2,75,PR Manager,PUBLIC-RELATIONS,0.3162
21297828,PUBLIC-RELATIONS,3,47,Content Strategist,DIGITAL-MEDIA,0.2981
21297828,PUBLIC-RELATIONS,4,50,Software Engineer,ENGINEERING,0.2828
21297828,PUBLIC-RELATIONS,5,10,Fashion Merchandiser,APPAREL,0.169
10149490,CONSTRUCTION,1,50,Software Engineer,ENGINEERING,0.2535
10149490,CONSTRUCTION,2,81,School Teacher,TEACHER,0.189
10149490,CONSTRUCTION,3,83,Academic Counsellor,TEACHER,0.189
10149490,CONSTRUCTION,4,38,Management Consultant,CONSULTANT,0.189
10149490,CONSTRUCTION,5,22,Banking Analyst,BANKING,0.189
18368613,SALES,1,50,Software Engineer,ENGINEERING,0.1826
18368613,SALES,2,82,Corporate Trainer,TEACHER,0.0
18368613,SALES,3,83,Academic Counsellor,TEACHER,0.0
18368613,SALES,4,80,Inside Sales Representative,SALES,0.0
18368613,SALES,5,79,Key Account Manager,SALES,0.0
29521434,APPAREL,1,42,Product Designer,DESIGNER,0.2357
29521434,APPAREL,2,50,Software Engineer,ENGINEERING,0.2236
29521434,APPAREL,3,17,Service Technician,AUTOMOBILE,0.1443
29521434,APPAREL,4,19,Aviation Engineer,AVIATION,0.1336
29521434,APPAREL,5,11,Apparel Designer,APPAREL,0.1336
33527446,ACCOUNTANT,1,56,Gym Manager,FITNESS,0.189
33527446,ACCOUNTANT,2,53,Finance Manager,FINANCE,0.1782
33527446,ACCOUNTANT,3,1,Accountant,ACCOUNTANT,0.169
33527446,ACCOUNTANT,4,8,Farm Manager,AGRICULTURE,0.101
33527446,ACCOUNTANT,5,61,Medical Coder,HEALTHCARE,0.0945
30965258,DESIGNER,1,13,Art Teacher,ARTS,0.3062
30965258,DESIGNER,2,14,Creative Director,ARTS,0.2887
30965258,DESIGNER,3,50,Software Engineer,ENGINEERING,0.2739
30965258,DESIGNER,4,31,Partnership Manager,BUSINESS-DEVELOPMENT,0.2182
30965258,DESIGNER,5,38,Management Consultant,CONSULTANT,0.2041
10235429,FITNESS,1,76,Communications Specialist,PUBLIC-RELATIONS,0.126
10235429,FITNESS,2,11,Apparel Designer,APPAREL,0.126
10235429,FITNESS,3,77,Event Coordinator,PUBLIC-RELATIONS,0.1179
