ID,Category,n_skills,skill_str
64468610,ENGINEERING,11,"JavaScript, C++, C, Go, HTML, REST API, Jenkins, Scrum, Video Editing, Communication, Teamwork"
28733974,AGRICULTURE,10,"C++, QA, Budget Management, Accounting, Communication, Teamwork, Problem Solving, Negotiation, Presentation, CompTIA"
13130984,ACCOUNTANT,10,"C++, Forecasting, Financial Analysis, Accounting, QuickBooks, Financial Reporting, Budget Forecasting, Leadership, Teamwork, Time Management"
28325193,ARTS,3,"C++, Communication, valid and current teaching certification"
59346975,PUBLIC-RELATIONS,12,"C++, HTML, Accounting, Photoshop, SEO, Social Media, Content Marketing, CRM, Brand Management, Presentation, Mentoring, CompTIA"
37818861,CONSULTANT,5,"C++, QA, Leadership, Communication, Negotiation"
64589506,BANKING,5,"C++, Investment Banking, Sales Strategy, Leadership, CompTIA"
36379931,ARTS,7,"C++, Social Media, CRM, Communication, Teamwork, Problem Solving, CompTIA"
18805506,BANKING,8,"C++, Risk Management, Accounting, Photography, Teamwork, CPA, CompTIA, currently pursuing the certified"
51639418,INFORMATION-TECHNOLOGY,11,"C++, SQL, Oracle DB, Linux, Forecasting, Budget Management, Compliance, Leadership, Communication, Mentoring, CompTIA"
28895997,BANKING,3,"C++, Compliance, Communication"
30713796,BANKING,3,"C++, Compliance, CompTIA"
22551979,TEACHER,12,"C++, Statistics, QuickBooks, Social Media, Leadership, Communication, Teamwork, Critical Thinking, Time Management, Creativity, Attention to Detail, Presentation"
10704573,BUSINESS-DEVELOPMENT,6,"C++, Budget Management, Financial Analysis, Sales Strategy, Leadership, Presentation"
12467531,TEACHER,8,"C++, Slack, SAFe, Financial Analysis, Photoshop, Social Media, Leadership, CompTIA"
21512769,CONSULTANT,5,"C++, Pharmacology, Anatomy, Physiology, Surgery"
15306049,ARTS,1,C++
36694627,ADVOCATE,8,"C++, C, Statistics, Accounting, Communication, Problem Solving, Presentation, CompTIA"
13454871,CONSULTANT,9,"C++, R, SQL, Oracle DB, QA, Leadership, Communication, Teamwork, Presentation"
28623782,FINANCE,11,"C++, R, Forecasting, Budget Management, Financial Analysis, Accounting, Auditing, SAP, Risk Analysis, Compliance, Leadership"
21830565,HR,10,"C++, Go, Oracle DB, Compliance, Pharmacology, Market Research, Leadership, Mentoring, hr consultant summary certified, phr gphr shrm scp senior certified"
73030450,ARTS,13,"C++, Network Security, Firewall, VPN, TCP/IP, HTTPS/TLS, Wireshark, PKI, Risk Management, Product Marketing, CCNA, CCNP, CompTIA"
13087952,TEACHER,9,"C++, Leadership, Communication, Mentoring, organizational skills teacher certified, software skills national board certified, ap bio certified ap chem certified, summer national board certification, state secondary education gpa certificate"
22019500,CONSTRUCTION,8,"C++, Compliance, First Aid, 3D Modelling, Leadership, Problem Solving, Presentation, Mentoring"
37292350,AGRICULTURE,7,"C++, C, Data Analysis, PMO, Accounting, Social Media, Leadership"
35344611,ADVOCATE,9,"C++, R, Forecasting, Healthcare Management, Leadership, Mentoring, Cross-functional, gpa human resources management certificate, healthcare management certificate"
91478356,HEALTHCARE,7,"C++, SAFe, Patient Care, Nursing, Adaptability, Attention to Detail, and recording inputs outputs certified"
43378989,CONSULTANT,14,"Java, JavaScript, C++, C, HTML, SQL, MySQL, Oracle DB, SQL Server, VPN, TCP/IP, DNS, Communication, CompTIA"
28359817,ACCOUNTANT,5,"C++, Go, Accounting, SAP, Compliance"
20210676,DIGITAL-MEDIA,9,"C++, Accounting, Compliance, Photoshop, Illustrator, Social Media, Analytics, Communication, CompTIA"
20324037,ADVOCATE,13,"C++, Oracle DB, Linux, Statistics, Forecasting, Waterfall, Accounting, SAP, ERP, Leadership, Communication, Teamwork, Negotiation"
36574147,BUSINESS-DEVELOPMENT,7,"C++, Compliance, Sales Strategy, Leadership, Negotiation, Presentation, Mentoring"
12920612,PUBLIC-RELATIONS,5,"C++, Brand Management, Communication, Teamwork, Presentation"
41651672,BANKING,5,"C++, Financial Reporting, Compliance, CRM, CompTIA"
15958967,ADVOCATE,13,"C++, Data Analysis, Patient Care, Anatomy, Physiology, Nursing, Surgery, Leadership, Critical Thinking, Presentation, minor in journalism licensure certification, registered nurse nationally certified, nurse national board for certification"
28724469,FINANCE,8,"C++, Budget Management, Accounting, Financial Reporting, Compliance, Critical Thinking, Presentation, of salaried employees submit certified"
16244633,ARTS,13,"C++, Auditing, QuickBooks, Compliance, Social Media, Communication, Teamwork, Time Management, Client Management, developmentgraduate certificate, in organizational development certificate, bowie state university certificate, development certifications certificate"
25482567,FITNESS,5,"C++, Budget Management, Sales Strategy, Leadership, Communication"
26987539,BANKING,9,"C++, Social Media, Sales Strategy, Teamwork, Problem Solving, Adaptability, Presentation, Cross-functional, CompTIA"
27152464,ENGINEERING,45,"Python, C++, C, Go, Perl, Shell/Bash, COBOL, SQL, PostgreSQL, Oracle DB, MongoDB, Linux, Unix, Git, Jira, Confluence, Integration Testing, Postman, Test Automation, Load Testing, Manual Testing, QA, Agile, Scrum, Waterfall, Resource Planning, Leadership, Communication, Critical Thinking, Time Management, Adaptability, Multitasking, Mentoring, Scrum Master, CompTIA, brands thus completing any emv certification, lead and manager software certification, in procuring st emv certification, of joining reduced overall emv certification, from year to automation of emv certification, systems certifications certified, scrum master csm certificate, code expires may certified, tester foundation level ctfl certificate, expiry agile scrum foundation certificate"
12092347,FITNESS,5,"C++, Leadership, Communication, Problem Solving, Time Management"
26341987,DIGITAL-MEDIA,17,"C++, SQL, Network Security, VPN, TCP/IP, DNS, ITIL, Budget Management, ERP, Compliance, UI/UX Design, Leadership, Communication, Negotiation, CompTIA, systems and i am itil certified, library itil foundation certified"
38165833,CONSULTANT,1,C++
11197262,AGRICULTURE,8,"C++, Spring, Data Analysis, First Aid, Video Editing, Communication, and detail oriented highlights certificate, fledgling success education certificate"
19518606,ADVOCATE,11,"C++, Go, QA, CRM, Leadership, Communication, Problem Solving, Client Management, CompTIA, and proper setup education certificate, usa pima community college certificate"
16300459,BANKING,11,"C++, C, VBA, Financial Analysis, Accounting, Financial Reporting, Valuation, Market Research, Time Management, Adaptability, Presentation"
11835339,CONSULTANT,3,"C++, C, Spring"
55097118,SALES,7,"C++, Spark, Communication, Teamwork, Problem Solving, Time Management, Attention to Detail"
22732234,AUTOMOBILE,7,"C++, Statistics, Network Security, Leadership, Communication, Problem Solving, CompTIA"
13964744,BPO,14,"Java, C++, SQL, Jira, PMP, Resource Planning, Accounting, Leadership, Communication, Mentoring, Cross-functional, CompTIA, visio project seeking for pmp certification, will get certified"
93988900,HEALTHCARE,16,"C++, Compliance, Patient Care, Surgery, First Aid, Photoshop, 3D Modelling, Photography, Leadership, Problem Solving, Critical Thinking, Presentation, CompTIA, company former military leader certified, to students attempting emt certification, outstanding volunteer medal certificate"
32794700,ARTS,11,"C++, HTML, Network Security, Photoshop, Illustrator, CRM, Communication, Adaptability, Multitasking, CompTIA, ms office proficient osha certified"
10062724,HEALTHCARE,7,"C++, QA, Compliance, EMR/EHR, Teamwork, Presentation, CompTIA"
10251432,HEALTHCARE,5,"C++, C, R, Accounting, Attention to Detail"
21297828,PUBLIC-RELATIONS,5,"C++, Social Media, Communication, CompTIA, journalism public relations certificate"
10149490,CONSTRUCTION,14,"C++, Statistics, QA, SAFe, Compliance, Leadership, Communication, Teamwork, Problem Solving, Mentoring, to promote it amongst peers certified, fighting apparatus equipment certified, rescue rope rescue qualified certified, the area of oil spill response certified"
18368613,SALES,3,"C++, Surgery, Adaptability"
29521434,APPAREL,8,"C++, Leadership, Problem Solving, Critical Thinking, Time Management, Adaptability, Creativity, CompTIA"
33527446,ACCOUNTANT,14,"C++, COBOL, Budget Management, Accounting, Taxation, Financial Reporting, Sales Strategy, Teamwork, Attention to Detail, CPA, CompTIA, computer science may passed certified, accountant exam state of iowa certificate, management cl cobol hardware certified"
30965258,DESIGNER,12,"C++, SAFe, Photoshop, Illustrator, InDesign, Photography, Communication, Problem Solving, Adaptability, Negotiation, Presentation, and training graphic design certification"
10235429,FITNESS,9,"C++, SAFe, Social Media, Product Marketing, Leadership, Creativity, sanctuary certifications certified, bar method fitness instructor certified, of masters sommelier level one certification"
37764298,INFORMATION-TECHNOLOGY,11,"C++, Go, SQL, Compliance, CRM, Azure Certified, CompTIA, satellite offices education certificate, of completion microsoft certified, expires august microsoft certified, materials access microsoft certified"
10289113,BUSINESS-DEVELOPMENT,6,"C++, C, Forecasting, BDD, Sales Strategy, Leadership"
10926726,PUBLIC-RELATIONS,11,"C++, Spring, Photoshop, InDesign, Photography, Brand Design, Social Media, Leadership, Communication, Presentation, CompTIA"
13809698,ADVOCATE,8,"C++, Statistics, QA, Compliance, Nursing, EMR/EHR, Problem Solving, to company name city state certified"
37560528,ADVOCATE,5,"C++, First Aid, Communication, Teamwork, CompTIA"
25656981,CONSTRUCTION,10,"C++, C, Compliance, Communication, Negotiation, CompTIA, of labor education osha certified, hours icc residential class c certification, irc lead abatement certified, drafting and design city state certificate"
15856762,BANKING,12,"C++, C, Oracle DB, Accounting, Compliance, Sales Strategy, Market Research, Leadership, Negotiation, Presentation, minority owned as well as sba certified, s business development and sba certification"
15620421,SALES,10,"C++, Social Media, Leadership, Communication, Problem Solving, Time Management, Attention to Detail, Mentoring, Client Management, data entry office assistant certificate"
51638201,CONSTRUCTION,7,"C++, Compliance, First Aid, Communication, CompTIA, repair projects highlights cpr certified, conflict resolution cpr certified"
30223363,INFORMATION-TECHNOLOGY,20,"Java, C++, C, PHP, Perl, HTML, SQL, MySQL, Oracle DB, SQL Server, Linux, Data Analysis, Data Warehouse, QA, SAP, Email Marketing, CRM, Communication, Cross-functional, CompTIA"
31220062,PUBLIC-RELATIONS,12,"C++, R, Budget Management, Social Media, Sales Strategy, Brand Management, Communication, Teamwork, Time Management, Negotiation, Presentation, Mentoring"
36671891,PUBLIC-RELATIONS,8,"C++, Leadership, Communication, Teamwork, Attention to Detail, Presentation, CompTIA, rate education graduate certificate"
38535335,ENGINEERING,3,"C++, R, SAP"
39295103,FINANCE,6,"C++, Accounting, Communication, Critical Thinking, Time Management, Presentation"
11807040,DESIGNER,12,"C++, QA, SAFe, Compliance, Patient Care, Clinical Research, Nursing, Surgery, First Aid, Communication, Presentation, cardiac life support acls certification"
31242382,ADVOCATE,4,"C++, Communication, Teamwork, Attention to Detail"
22182279,ARTS,5,"C++, Nursing, Teamwork, Time Management, Multitasking"
92985983,CHEF,7,"C++, R, Budget Management, Attention to Detail, Presentation, summary executive chef and certified, efficiency highlights servsafe certified"
90629382,BUSINESS-DEVELOPMENT,15,"C++, Cypress, Budget Management, Financial Analysis, Accounting, Financial Reporting, Compliance, Sales Strategy, Market Research, Leadership, Communication, Problem Solving, Cross-functional, education accounting business certificate, and business administration certificate"
40882926,AGRICULTURE,8,"C++, Leadership, Communication, Teamwork, Presentation, Mentoring, CompTIA, legal research and writing certificate"
25838512,FITNESS,4,"C++, Leadership, Communication, Presentation"
20628003,DIGITAL-MEDIA,10,"C++, A/B Testing, Digital Marketing, SEO, SEM, Social Media, Lead Generation, Analytics, Communication, google adwords and analytics certified"
11752500,AVIATION,6,"C++, C, Shell/Bash, QA, Leadership, Communication"
31273413,ARTS,7,"C++, Accounting, Leadership, Communication, Problem Solving, Creativity, valid and current teaching certification"
26289308,HR,6,"C++, Resource Planning, Compliance, Communication, Mentoring, including assisting in leed certification"
47996197,HEALTHCARE,11,"C++, Forecasting, Budget Management, Brand Design, Digital Marketing, SEO, SEM, Social Media, CRM, Cross-functional, CompTIA"
73497035,ARTS,5,"C++, Risk Management, Auditing, Compliance, Leadership"
31016926,CONSULTANT,8,"C++, C, Go, Stakeholder Management, Sales Strategy, Leadership, prosci change management certification, human resource certification"
17880988,FINANCE,13,"C++, Data Analysis, Slack, Budget Management, Financial Analysis, Accounting, Auditing, QuickBooks, Financial Reporting, CRM, Leadership, Communication, Teamwork"
95382114,BUSINESS-DEVELOPMENT,17,"TypeScript, C++, Data Analysis, SAFe, Financial Analysis, Financial Reporting, Content Marketing, CRM, Lead Generation, Sales Strategy, Product Marketing, Leadership, Teamwork, Problem Solving, Attention to Detail, Negotiation, CompTIA"
29486525,TEACHER,5,"C++, Communication, Problem Solving, Adaptability, competencies texas teaching certificate"
20748468,HEALTHCARE,13,"C++, R, HTML, CSS, Statistics, Accounting, QuickBooks, Compliance, Nursing, Social Media, Communication, Problem Solving, Cross-functional"
10659182,ADVOCATE,10,"C++, Go, SAFe, First Aid, Communication, Problem Solving, Adaptability, awareness and sensitivity cpr certified, strict confidentiality certified, pressure cna consultant cpr certified"
16237710,ACCOUNTANT,15,"C++, Go, Budget Management, Resource Planning, Accounting, Financial Reporting, Sales Strategy, Leadership, Communication, Problem Solving, Critical Thinking, Time Management, Adaptability, CompTIA, levels and units as follows certificate"
58915642,DIGITAL-MEDIA,7,"Java, C++, Statistics, Sales Strategy, Leadership, Mentoring, CompTIA"
34797369,BUSINESS-DEVELOPMENT,10,"C++, Forecasting, Digital Marketing, Social Media, Sales Strategy, Communication, Teamwork, Presentation, Mentoring, CompTIA"
70196518,DIGITAL-MEDIA,6,"C++, Social Media, Communication, Teamwork, Problem Solving, Creativity"
41910253,HEALTHCARE,10,"C++, Data Analysis, Risk Management, Compliance, Patient Care, Healthcare Management, Leadership, Communication, Teamwork, Time Management"
38860712,ADVOCATE,4,"C++, First Aid, Leadership, Problem Solving"
20698469,ARTS,2,"C++, CompTIA"
36107065,PUBLIC-RELATIONS,19,"C++, C, R, SQL, GCP, Statistics, Forecasting, Accounting, Taxation, Clinical Research, Social Media, Sales Strategy, Brand Management, Leadership, Communication, Critical Thinking, Attention to Detail, Presentation, CompTIA"
12333703,HEALTHCARE,9,"C++, R, Waterfall, Compliance, Surgery, Communication, CompTIA, city state liberal arts trade certificate, electrical assistant and hvac certificate"
11378657,HEALTHCARE,5,"C++, Radiology, Leadership, Communication, CompTIA"
29297393,CONSULTANT,17,"C++, Financial Analysis, Auditing, SAP, Financial Reporting, Compliance, KYC/AML, 3D Modelling, Content Marketing, Market Research, Communication, Teamwork, Presentation, CompTIA, reports weekly education certification, in human resources phr certificate, certification mortgage champions school of real estate"
34465087,TEACHER,6,"C++, First Aid, Market Research, Communication, Teamwork, Creativity"
17008356,AVIATION,8,"C++, Compliance, Sales Strategy, Market Research, Time Management, Negotiation, Mentoring, CompTIA"
28998957,APPAREL,16,"C++, Go, SQL, Unix, Statistics, Data Analysis, Forecasting, Jira, QA, Resource Planning, SAP, Risk Analysis, Compliance, CRM, Analytics, CompTIA"
20176584,CONSULTANT,18,"C++, R, Forecasting, QA, Six Sigma, Risk Management, ERP, Compliance, Leadership, Problem Solving, Six Sigma Certified, management haccp and gmp certification, city state usa skills haccp certified, lean manufacturing certified, better process control certified, through gfsi sqf level ii certification, system resulting in iso certification, class training programs and certified"
11160414,PUBLIC-RELATIONS,11,"C++, R, Brand Design, SEO, Social Media, Email Marketing, CRM, Market Research, Copywriting, Communication, Cross-functional"
14408510,FINANCE,10,"C++, Forecasting, Six Sigma, Accounting, Auditing, SAP, ERP, CRM, Teamwork, Cross-functional"
19920687,BANKING,8,"C++, PMP, Compliance, Presentation, Mentoring, Cross-functional, university california certificate, university california irvine certificate"
10100240,CONSTRUCTION,7,"C++, SAFe, Compliance, Leadership, Communication, Multitasking, high school city state csho certified"
18525641,DIGITAL-MEDIA,10,"C++, Radiology, Brand Design, Digital Marketing, Social Media, Leadership, Communication, Teamwork, Presentation, Cross-functional"
54308684,APPAREL,13,"C++, C, Accounting, QuickBooks, Compliance, SEO, Sales Strategy, Leadership, Communication, Teamwork, Attention to Detail, Presentation, CompTIA"
35389360,ENGINEERING,25,"Java, C++, PHP, HTML, CSS, jQuery, MySQL, Linux, QA, Network Security, Firewall, VPN, TCP/IP, DNS, Accounting, Leadership, Communication, Attention to Detail, CompTIA, where my microsoft certification, expert network security not certified, education comptia certification, high school diploma microsoft certification, and microsoft office certification, development microsoft office certification"
13367322,FITNESS,14,"C++, SAFe, Compliance, First Aid, Communication, Multitasking, CompTIA, nafc native american fitness certification, trainer youth trainer zumba certified, strong by zumba certified, dance instructor vertimax certified, blood glucose meter system certified, cpr first aid certified, system certifiedcpr first aid certified"
36905896,BANKING,5,"C++, KYC/AML, Attention to Detail, Mentoring, CompTIA"
24349611,ARTS,8,"C++, C, R, Neural Networks, Data Analysis, Leadership, Presentation, Mentoring"
26676567,DESIGNER,18,"C++, HTML, CSS, Linux, Photoshop, Illustrator, InDesign, Photography, Typography, Brand Design, Social Media, Leadership, Communication, Problem Solving, Time Management, Creativity, Presentation, the presentation of an award certificate"
21297521,BANKING,44,"Java, JavaScript, TypeScript, C++, C, Swift, PHP, HTML, Node.js, SQL, MySQL, PostgreSQL, SQLite, Oracle DB, SQL Server, AWS, Azure, Docker, Kubernetes, Jenkins, CI/CD, Linux, Serverless, Deep Learning, NLP, Computer Vision, Git, Jira, Unit Testing, QA, PKI, Agile, Scrum, Kanban, Waterfall, PMO, Compliance, UI/UX Design, Sales Strategy, Communication, Problem Solving, Adaptability, Mentoring, CompTIA"
23398733,CHEF,5,"C++, Medical Coding, Anatomy, Mentoring, and billing program city state certificate"
71767359,APPAREL,6,"C++, Illustrator, Leadership, Communication, Teamwork, Cross-functional"
51588273,ENGINEERING,15,"Java, JavaScript, C++, C, PHP, ASP.NET, SQL, Oracle DB, SQL Server, ETL, Agile, Scrum, Leadership, Communication, Cross-functional"
57262959,CHEF,9,"C++, Resource Planning, Compliance, Leadership, Communication, Presentation, Mentoring, Cross-functional, Client Management"
26622051,DESIGNER,12,"C++, QA, SAP, Photoshop, Illustrator, InDesign, 3D Modelling, Teamwork, mapping industry highlights certified, in microsoft office suite certified, project management certified, gis technician certified"
56068028,AGRICULTURE,22,"C++, R, Data Analysis, Network Security, Penetration Testing, Resource Planning, Accounting, Auditing, SAP, ERP, Risk Analysis, Compliance, Critical Thinking, CPA, CISSP, CompTIA, support certificates awards certified, public accountant cpa certified, security professional cissp certificate, cloud security knowledge ccsk certified, internal audit cia certified, cisa industry proficiency certified"
30529547,SALES,4,"C++, Communication, Critical Thinking, Time Management"
19284293,AVIATION,8,"C++, Fortran, Integration Testing, QA, Compliance, Leadership, canada for securing the certificate, airspace and operational certificate"
19108760,ADVOCATE,21,"C++, C, Six Sigma, Risk Management, Resource Planning, Patient Care, Nursing, Sales Strategy, Market Research, Product Marketing, Leadership, Communication, Teamwork, Problem Solving, Time Management, Multitasking, Negotiation, Presentation, Cross-functional, Six Sigma Certified, CompTIA"
11432686,CHEF,16,"C++, Data Analysis, Forecasting, QA, Six Sigma, Accounting, SAP, SEO, Social Media, Market Research, Leadership, Communication, Critical Thinking, Presentation, Cross-functional, Six Sigma Certified"
41506705,DESIGNER,12,"C++, Linux, SAFe, Wireframing, 3D Modelling, Leadership, Communication, Teamwork, Creativity, Cross-functional, state advanced custom training certification, mlc cad systems certificate"
18731098,HR,12,"C++, Accounting, SAP, Financial Reporting, Compliance, Communication, Critical Thinking, Time Management, Mentoring, CPA, CompTIA, bachelors of arts degree ucla certificate"
11773925,BANKING,9,"C++, Data Analysis, Forecasting, CRM, Lead Generation, Sales Strategy, Negotiation, Presentation, CompTIA"
16924279,CONSTRUCTION,6,"C++, C, Go, QA, Communication, CompTIA"
11137306,AVIATION,5,"C++, C, SAFe, Communication, that all equipment was certified"
29878348,CONSTRUCTION,4,"C++, QA, Teamwork, Attention to Detail"
19164410,DESIGNER,7,"C++, Photoshop, Illustrator, Sketch, Communication, Time Management, Presentation"
26231609,FINANCE,9,"C++, Forecasting, Budget Management, Financial Analysis, Accounting, Auditing, Financial Reporting, Budget Forecasting, Leadership"
45987048,TEACHER,8,"C++, Penetration Testing, Accounting, Compliance, Leadership, Multitasking, Presentation, CompTIA"
31217840,CONSULTANT,29,"C++, Go, SQL, SQL Server, Statistics, Data Analysis, Forecasting, Data Warehouse, QA, Agile, Scrum, Waterfall, Six Sigma, ITIL, Resource Planning, SAP, Compliance, Clinical Research, Medical Coding, CRM, Communication, Cross-functional, Azure Certified, CompTIA, business analysis iiba certification, august mcdst certification, microsoft certified, august lean six sigma certification, of time scales and budget certified"
32636041,FITNESS,14,"C++, QA, Physiology, First Aid, Brand Design, Social Media, Leadership, Communication, Problem Solving, Presentation, CompTIA, problem solving professional certification, in fitness cpr aed certified, personal trainer certification"
19938081,FITNESS,6,"C++, QA, Accounting, Leadership, Communication, CompTIA"
51681660,DESIGNER,4,"C++, SAFe, Photoshop, Photography"
35564026,BANKING,8,"C++, Accounting, Compliance, Time Management, Attention to Detail, Multitasking, Mentoring, CompTIA"
19558834,PUBLIC-RELATIONS,6,"C++, R, Spring, Market Research, Leadership, Communication"
17410700,SALES,5,"C++, Leadership, Communication, Time Management, CompTIA"
18589927,BPO,7,"C++, Data Analysis, Risk Management, CRM, Sales Strategy, Leadership, Attention to Detail"
93002334,HR,5,"C++, Risk Management, SAP, Communication, prosci change management certification"
19243556,FINANCE,8,"C++, Oracle DB, Financial Analysis, Accounting, QuickBooks, Financial Reporting, Compliance, Leadership"
32042584,BUSINESS-DEVELOPMENT,10,"C++, C, R, Spring, SQL, Statistics, Digital Marketing, SEM, Sales Strategy, Presentation"
86184722,HR,10,"C++, Oracle DB, Auditing, SAP, Compliance, Communication, Critical Thinking, Adaptability, Attention to Detail, CompTIA"
36434348,INFORMATION-TECHNOLOGY,13,"C++, C, HTML, ASP.NET, SQL, Oracle DB, SQL Server, SAP, Photoshop, Leadership, Communication, Problem Solving, CompTIA"
10076271,HEALTHCARE,7,"C++, Healthcare Management, Brand Design, Sales Strategy, Leadership, Presentation, CompTIA"
12059198,BUSINESS-DEVELOPMENT,8,"C++, Compliance, Sales Strategy, Product Marketing, Leadership, Communication, Presentation, CompTIA"
21869994,CHEF,5,"C++, SAFe, Accounting, Financial Reporting, Teamwork"
10176815,AVIATION,7,"C++, MATLAB, HTML, QA, Communication, Attention to Detail, pilot airline dispatcher certified"
29998869,FINANCE,10,"C++, R, Forecasting, Data Warehouse, Budget Management, Accounting, Leadership, Critical Thinking, Presentation, of finance summary seasoned certified"
18825446,CHEF,5,"C++, Leadership, Communication, Presentation, trainer health department certified"
28631840,ENGINEERING,10,"C++, PMP, Risk Management, Budget Management, Sales Strategy, Leadership, Mentoring, CompTIA, closeout working in an iso certified, personnel education graduate certificate"
17306905,ACCOUNTANT,16,"C++, C, Forecasting, Budget Management, Financial Analysis, Accounting, Auditing, Taxation, QuickBooks, Financial Reporting, Compliance, Surgery, CRM, Leadership, Problem Solving, CPA"
25749150,ACCOUNTANT,14,"C++, R, Accounting, Financial Reporting, Compliance, Medical Coding, EMR/EHR, Surgery, Leadership, Problem Solving, Attention to Detail, CompTIA, outpatient surgery coding certified, insurance verification and pre certification"
12668625,APPAREL,4,"C++, Communication, Time Management, CompTIA"
27789372,FINANCE,8,"C++, Budget Management, Accounting, Auditing, QuickBooks, Financial Reporting, Compliance, Leadership"
25723793,DIGITAL-MEDIA,10,"C++, Forecasting, Accounting, Compliance, Photoshop, InDesign, SEO, CRM, Communication, top cars net unit sales certificate"
25990239,INFORMATION-TECHNOLOGY,12,"C++, PHP, HTML, Data Analysis, Photoshop, Illustrator, InDesign, UI/UX Design, Market Research, Problem Solving, Presentation, CompTIA"
14224370,ACCOUNTANT,6,"C++, Accounting, QuickBooks, Financial Reporting, Communication, Presentation"
14358578,SALES,6,"C++, Go, Surgery, Problem Solving, Presentation, CompTIA"
34252537,CHEF,8,"C++, Compliance, Leadership, Time Management, Negotiation, Mentoring, diverse backgrounds culinary certified, beverage operations management certified"
24703009,ACCOUNTANT,10,"C++, C, Cypress, Budget Management, Accounting, Compliance, Teamwork, Problem Solving, Time Management, veterans affairs reviewed and certified"
11704150,HEALTHCARE,5,"C++, Accounting, Radiology, Communication, Teamwork"
80679862,DIGITAL-MEDIA,27,"C++, Go, HTML, GitHub, GitLab, Slack, Photoshop, Illustrator, Sketch, UI/UX Design, Photography, Digital Marketing, SEO, SEM, Social Media, Content Marketing, Email Marketing, CRM, Lead Generation, Analytics, Communication, Teamwork, Time Management, Presentation, Cross-functional, CompTIA, of florida bachelor of science certified"
38688388,BUSINESS-DEVELOPMENT,11,"C++, Forecasting, Auditing, Compliance, Sales Strategy, Market Research, Leadership, Negotiation, Presentation, Mentoring, CompTIA"
21663616,PUBLIC-RELATIONS,11,"C++, Agile, Budget Management, Leadership, Communication, Teamwork, Critical Thinking, Adaptability, Creativity, Presentation, Mentoring"
20237244,INFORMATION-TECHNOLOGY,11,"TypeScript, C++, Shell/Bash, Linux, Unix, Network Security, Wireshark, Compliance, CompTIA, in network security comptia certified, city state united states certified"
35474904,ADVOCATE,5,"C++, QA, Photography, Communication, Attention to Detail"
12693146,CONSTRUCTION,5,"C++, SAFe, Compliance, 3D Modelling, Teamwork"
24643412,CONSULTANT,17,"Java, JavaScript, C++, C, PHP, Fortran, HTML, SQL, MySQL, Oracle DB, SQL Server, Linux, Unix, Data Warehouse, Unit Testing, TCP/IP, CompTIA"
95625660,BPO,6,"C++, C, Tally, Problem Solving, Negotiation, CPA"
22349169,CHEF,6,"C++, SAFe, Compliance, Creativity, Mentoring, united states culinary arts certificate"
11676151,AGRICULTURE,12,"C++, Go, HTML, Statistics, TCP/IP, PMP, EMR/EHR, Leadership, Communication, Problem Solving, CompTIA, finish problem solving skills certification"
18133495,PUBLIC-RELATIONS,15,"C++, SQL, SQL Server, Linux, Unix, Patient Care, Nursing, EMR/EHR, Radiology, Photoshop, Leadership, Communication, Problem Solving, Mentoring, CompTIA"
23048999,PUBLIC-RELATIONS,6,"C++, Nursing, Leadership, Communication, Presentation, Mentoring"
20279756,FITNESS,15,"C++, SAFe, First Aid, Content Marketing, Sales Strategy, Leadership, Communication, Teamwork, CompTIA, expert cpr and first aid certified, association of america afaa certificate, association international aaai certificate, medicine association isma certificate, partner assisted stretching certificate, cpr first aid certificate"
